cliente_id,nombre,email,telefono,edad,genero,ciudad,categoria_producto,monto_compra,salario_mensual,score_satisfaccion,metodo_pago,fecha_registro,fecha_ultima_compra,estado_cliente,num_compras,region
105,Juan Ramírez,usuario105@gmail.com,3209822394,39,Femenino,Pereira,HOGAR,147716.55,3242560.39,2.3,,2021/08/24,01-23-2024,Cancelado,2.0,Occidente
106,Andrés Martínez,usuario106@hotmail.com,3122037751,44,Masculino,CALI,ROPA,1183923.42,2515150.46,8.3,TARJETA CREDITO,09/09/2022,25-08-2023,pendiente,14.0,Occidente
107,Miguel López,usuario107@yahoo.com,3013788283,73,F,Santa Marta,HOGAR,77310.12,4637684.65,2.7,TARJETA CREDITO,2020-01-12,2021-02-19,ACTIVO,28.0,Centro
108,María Rodríguez,usuario108@yahoo.com,,33,,Medellín,alimentos,11898.14,4514737.94,,pse,2024-04-05,10 Oct 2021,inactivo,8.0,Norte
109,María Rodríguez,usuario109@empresa.co,3105905299,68,Male,Pereira,Tecnología,953049.02,3500545.54,1.4,Tarjeta Débito,17 Jun 2023,2021-01-25,Pendiente,23.0,Oriente
110,Paola Sánchez,sin_email,3202091183,42,MASCULINO,Pereira,alimentos,236612.3,3860303.83,3.3,Nequi,14 Jan 2022,2024/05/16,Activo,26.0,Centro
111,Paola Ramírez,usuario111@hotmail.com,3106954696,72,FEMENINO,Cartagena,HOGAR,112492.99,1776623.66,9.8,,05/03/2022,2024-05-09,Inactivo,11.0,Sur
112,Pedro López,usuario112@yahoo.com,3206631198,30,Femenino,Bogotá,Ropa,998320.15,3006518.73,5.4,Nequi,2022/08/31,04 Sep 2023,Activo,8.0,Oriente
113,Diana López,usuario113@outlook.com,3012112692,47,Femenino,Medellín,Ropa,41575.47,2126555.56,8.9,tarjeta débito,03/01/2022,16-02-2022,Cancelado,16.0,Sur
114,Carlos Sánchez,usuario114@empresa.co,3206893912,70,FEMENINO,Manizales,ROPA,510881.35,2700033.96,7.3,Nequi,2024-04-19,2020/05/05,ACTIVO,34.0,Occidente
115,Natalia Sánchez,usuario115@outlook.com,3101472831,32,Masculino,Cartagena,Deportes,161528.24,3304169.42,5.2,TARJETA CREDITO,18-03-2023,2021-11-18,Inactivo,17.0,Oriente
116,Carlos Rivera,usuario116@outlook.com,3204228878,60,MASCULINO,Santa Marta,deportes,77696.12,3562714.86,2.4,,2020/09/02,2024/06/25,Cancelado,25.0,Oriente
117,Paola Ramírez,usuario117@hotmail.com,,39,f,Cúcuta,Electrónica,71012.74,4272076.62,6.3,Tarjeta Débito,13 Dec 2021,2022-07-14,pendiente,3.0,Norte
118,Laura Pérez,,3208818534,22,MASCULINO,Bogotá,Alimentos,39969.68,5071279.89,6.5,efectivo,12-12-2022,,Inactivo,8.0,
119,,usuario119@yahoo.com,3158979240,35,,  Cartagena  ,Deportes,76279.93,3069328.51,5.7,,2023/12/14,17-10-2024,inactivo,48.0,Oriente
120,Ana Ramírez,usuario120@yahoo.com,3003927175,50,Male,Cúcuta,HOGAR,286126.62,4657843.87,5.6,tarjeta débito,02/10/2024,28 Jun 2021,ACTIVO,48.0,Sur
121,,,3128951821,71,Femenino,medellin,Hogar,319232.03,0.0,7.6,TARJETA CREDITO,04 Sep 2020,2023-03-05,ACTIVO,9.0,Oriente
122,Juan Pérez,usuario122@yahoo.com,,19,FEMENINO,Bogotá,HOGAR,138547.6,4709802.16,,,23/03/2021,03-31-2023,Inactivo,11.0,Norte
123,Jorge Rivera,usuario123@hotmail.com,3205192734,34,Masculino,Medellín,deportes,157462.79,4186112.65,4.9,Tarjeta Débito,16-04-2023,17-02-2024,inactivo,48.0,
124,Laura Gómez,,3202906592,34,M,medellin,ROPA,499361.04,4632682.43,7.6,Nequi,23-03-2024,2021-12-17,activo,1.0,Oriente
125,Pedro García,usuario125@hotmail.com,3109403831,,M,Barranquilla,ROPA,250569.8,4120722.37,7.4,TARJETA CREDITO,2020/04/13,01 Dec 2024,activo,35.0,Occidente
126,Luis Gómez,usuario126@yahoo.com,3157780983,40,m,Bogotá,electronica,174093.53,3255137.45,,efectivo,,24 Aug 2024,Cancelado,20.0,Centro
127,Paola Flores,usuario127@yahoo.com,3013107098,38,f,BOGOTA,Hogar,172489.55,3293374.11,2.8,pse,,08-11-2021,activo,5.0,Sur
128,Diana Martínez,usuario128@empresa.co,3109804178,50,F,Cali,Tecnología,,5186754.11,4.0,Nequi,26 Mar 2022,2020/11/26,pendiente,40.0,Occidente
129,Ana López,usuario129@hotmail.com,3118808554,75,MASCULINO,  Cartagena  ,ROPA,25187.1,1903208.08,2.7,Efectivo,16-01-2022,05-28-2021,activo,13.0,Oriente
130,,usuario130@empresa.co,3017452247,34,f,Santa Marta,Tecnología,248601.08,2825121.6,11.0,PSE,02-08-2024,15/04/2022,activo,2.0,Centro
131,Sergio Flores,usuario131@yahoo.com,,,f,Manizales,alimentos,123185.44,3954919.68,3.9,efectivo,2022-04-25,30 Apr 2022,Inactivo,13.0,Oriente
132,Diana Flores,usuario132@outlook.com,3129906766,51,Female,medellin,ROPA,453010.93,2557459.76,3.2,Tarjeta Débito,,04-14-2022,ACTIVO,11.0,Oriente
133,María Flores,usuario133@hotmail.com,3017579571,52,F,  Cartagena  ,Hogar,50154.96,4381919.03,3.1,TARJETA CREDITO,20 Oct 2020,07-06-2024,inactivo,50.0,Occidente
134,Miguel Gómez,usuario134@yahoo.com,3122915297,65,f,Santa Marta,Electrónica,53402.43,3297144.64,9.4,Tarjeta Débito,,2020-01-24,pendiente,1.0,Norte
135,,usuario135@gmail.com,3116312160,30,F,  Cartagena  ,alimentos,620894.53,3005752.81,2.5,Tarjeta Crédito,03-18-2022,2020-12-05,Cancelado,12.0,Sur
136,Diana Flores,usuario136@gmail.com,,22,FEMENINO,Barranquilla,Alimentos,146756.98,2377666.31,8.3,Tarjeta Débito,2022/05/26,2021-08-06,activo,26.0,Occidente
137,María Martínez,usuario137gmail.com,3005924694,39,,  Cartagena  ,HOGAR,454214.77,0.0,8.0,Efectivo,17/01/2024,2020-11-02,activo,5.0,Oriente
138,Natalia Flores,usuario138@gmail.com,3112092334,60,Male,Barranquilla,alimentos,643861.69,4801453.36,1.6,Nequi,29/06/2020,2021/12/27,Pendiente,,
139,Paola Rodríguez,usuario139@gmail.com,3129674953,64,Masculino,Cali,Alimentos,53275.8,5207082.87,5.8,Efectivo,08-13-2022,2020-10-08,pendiente,9.0,Norte
140,Diana Martínez,sin_email,,50,FEMENINO,BOGOTA,alimentos,299965.66,4343705.33,8.4,tarjeta débito,15/04/2023,22-01-2020,pendiente,22.0,Sur
141,Natalia Rivera,,3156794684,44,Femenino,Bogotá,electronica,542312.25,3390641.57,9.4,pse,11 Aug 2023,2024/02/06,Cancelado,8.0,Occidente
142,Jorge Ramírez,usuario142@yahoo.com,no tiene,62,Femenino,CALI,alimentos,,4547242.81,2.6,Nequi,2021-06-22,08/04/2021,Cancelado,49.0,Occidente
143,Pedro Gómez,usuario143@empresa.co,N/A,26,f,Pereira,Tecnología,67185.64,4527731.6,9.0,Nequi,2022/06/18,2021-03-31,Pendiente,32.0,Occidente
144,Paola Flores,usuario144@outlook.com,3103740755,60,M,barranquilla,Hogar,199346.44,3687870.16,5.5,PSE,2023-09-09,2024-05-18,ACTIVO,43.0,Norte
145,Pedro Flores,usuario145@outlook.com,3114363111,61,Masculino,barranquilla,Ropa,398360.14,2996107.05,7.1,tarjeta débito,27/01/2021,15 Mar 2022,Cancelado,45.0,
146,Laura González,usuario146@yahoo.com,3115242818,29,F,BOGOTA,HOGAR,347400.76,3309452.8,2.8,Tarjeta Crédito,2023-09-21,19/08/2024,Pendiente,42.0,Norte
147,Pedro Gómez,usuario147@yahoo.com,3207527289,37,m,BOGOTA,Alimentos,146668.62,4434997.24,4.7,Efectivo,24-10-2024,15/07/2020,Activo,43.0,Occidente
148,Carlos Martínez,usuario148@gmail.com,3127333286,71,Masculino,Manizales,Tecnología,91674.04,,5.6,Efectivo,05-05-2022,01-29-2020,Cancelado,30.0,
149,Pedro Rivera,usuario149@yahoo.com,3202284457,,F,medellin,deportes,350547.78,3508914.7,8.9,PSE,24 Jan 2020,12-06-2020,pendiente,48.0,Occidente
150,Ana Torres,usuario150@outlook.com,,45,FEMENINO,  Cartagena  ,Ropa,728931.35,2742489.54,9.2,Tarjeta Crédito,2020-12-23,05-25-2020,Pendiente,8.0,Norte
151,Luis Rivera,,3112658893,56,Masculino,Medellín,Hogar,56495.6,3866411.62,7.9,efectivo,05 Feb 2021,2022-07-16,activo,31.0,
152,Luis Sánchez,usuario152@empresa.co,3115312487,47,F,Cartagena,Ropa,123992.97,2024817.48,5.1,PSE,2022-08-02,15 Jan 2021,activo,19.0,Oriente
153,Jorge Rodríguez,usuario153@hotmail.com,3118122921,61,Female,Pereira,Hogar,6578.01,2722706.63,6.0,,,2023/08/25,Inactivo,43.0,
154,Carlos Pérez,usuario154@empresa.co,3206367417,48,Female,barranquilla,Hogar,210835.68,2990740.11,2.0,Tarjeta Crédito,2021/04/23,2023/06/13,activo,37.0,
155,Miguel Martínez,usuario155@empresa.co,3129537019,68,Male,CALI,HOGAR,25843.65,3134665.83,2.7,Tarjeta Débito,2024-01-14,06-10-2024,inactivo,6.0,Occidente
156,Paola Martínez,sin_email,3122091960,60,Female,medellin,ROPA,279032.4,2943352.31,8.1,Efectivo,11/11/2021,2024/03/29,activo,49.0,Occidente
